Asset Name,Name,Serial number,Criticality,Status,Tenant,Role,Manufacturer,Type,BMC IP,BMC MAC,BMC Version,BIOS Version,Asset tag,ID,Tenant Group,Region,Site Group,Site,Location,Rack,Parent Device,Position (Device Bay),Position,Rack face,Latitude,Longitude,Airflow,IP Address,IPv4 Address,IPv6 Address,OOB IP,Cluster,Virtual Chassis,VC Position,VC Priority,Description,Config Template,Comments,Contacts,Tags,Created,Last updated,Owner Group,Owner,U Height,Platform,Console ports,Console server ports,Power ports,Power outlets,Interfaces,Front ports,Rear ports,Device bays,Module bays,Inventory items,BIOS Date,EOL,FW Bundle,Installation Date,Last updated (automatic),OS Info,Product Name,UUID
AST-ASH1-00107,ash1-comp-0107,SU581827565,,Planned,Cloud Platform,compute,Supermicro,AS-1115CS-TNR STORAGE,10.10.232.87,d9:d2:29:2f:1f:d9,5.6,2.12.9,TAG61744,1106,,AMER,,ASH1,ASH1-DC-4,R04,,,27,Front,,,Front to rear,,172.20.193.134/24,,–,,,,,"Burn-in done, handed to platform team",,,,,2022-07-14T17:35:26.000000+00:00,2023-05-04T17:35:26.000000+00:00,,a.kovac,2,,,,2,,2,,,,,,,2026-12-17,,2022-06-23,2023-06-01 17:35:26+00:00,N/A,-,d46dfd50-c1d8-4ffc-8adb-68325df3318c
AST-BER1-00108,ber1-comp-0108,LE252621455,Medium,Active,Cloud Platform,compute,Lenovo,ThinkSystem SR630 COMP G1,10.16.156.228,43:46:eb:e6:e5:4c,4.2,None,TAG54433,1107,,EMEA,,BER1,BER1-DC-3,R05,,,2,,,,,,172.18.22.107/24,,N/A,,,,,,,"DIMM slot A3 flaky, monitor",,,2025-01-05T21:34:13.000000+00:00,2025-08-09T21:34:13.000000+00:00,DC-Ops,,1,ESXi 8.0,,,2,,4,,,,,,,,,2021-05-04,2025-09-30 21:34:13+00:00,RHEL 9.4,ThinkSystem,7d06170c-d849-45c8-b883-dc958cbf0190
AST-DFW1-00109,dfw1-comp-0109,HP124978726,Mission Critical,Active,Internal IT,compute,HPE,DL360 COMP G1,10.33.212.7,5c:0d:1d:98:c7:32,,1.6.3,–,1108,,AMER,,DFW1,N/A,R16,,,,front,,,Front to rear,,172.21.146.37/24,,,,,,,"Replaced PSU, vendor RMA #4411",,"DIMM slot A3 flaky, monitor",,,2022-11-22T04:59:53.000000+00:00,2023-07-04T04:59:53.000000+00:00,DC-Ops,,1,Linux Ubuntu 22.04,,,2,,6,,,,,,,,,2020-03-18,2023-10-07 04:59:53+00:00,ESXi 8.0u2,DL360,3b61b942-c00e-46d6-9eb1-05b202fcad84
AST-AMS1-00110,ams1-comp-0110,LE801216599,High,Active,Internal IT,compute,Lenovo,ThinkSystem SR630 COMP G1,10.17.246.70,dd:6b:a2:af:85:e7,None,3.10.0,TAG27527,1109,,None,,,AMS1-DC-2,R10,,,32,,,,Front to rear,,172.25.23.42/24,,10.148.179.216,,,,,,,"DIMM slot A3 flaky, monitor",,lab,2021-06-04T00:52:56.000000+00:00,2021-06-05T00:52:56.000000+00:00,,j.smith,2,,,,2,,6,,,,,,,,,,2021-09-07 00:52:56+00:00,-,ThinkSystem,ad98fa4e-3347-4831-bc4c-9200c0efb2f8
AST-PHX3-00111,phx3-comp-0111,LE968028454,,Offline,Managed Services,compute,Lenovo,ThinkSystem SR630 COMP G1,–,59:21:41:21:41:84,3.16,2.6.0,TAG98832,1110,,AMER,,PHX3,None,R10,,,N/A,front,,,,,172.28.56.223/24,,10.126.3.51,,,,,,,"DIMM slot A3 flaky, monitor",,lab,2021-11-18T01:57:58.000000+00:00,2022-03-18T01:57:58.000000+00:00,Platform,ops-team,1,ESXi 8.0,,,2,,2,,,,,,,,15/11/2025,,2022-06-26 01:57:58+00:00,–,ThinkSystem,5ac66739-cb37-407e-ae22-d71d7fd20d7d
AST-SIN1-00112,sin1-gpu-0112,LE276610744,Medium,Active,Internal IT,gpu,Lenovo,ThinkSystem SR630 COMP G1,10.18.49.8,30:e4:3f:2b:1f:11,7.2,1.14.0,TAG92075,1111,,APAC,,SIN1,None,R07,,,40,Front,,,Front to rear,,172.19.242.62/24,,10.103.171.216,,,,,"Burn-in done, handed to platform team",,"Needs recable
see ticket NET-2231",,lab,2022-10-19T20:46:05.000000+00:00,2023-03-28T20:46:05.000000+00:00,,,1,Linux Ubuntu 22.04,,,2,,6,,,,,,,2027-02-27,15/11/2025,2019-12-02,2023-04-23 20:46:05+00:00,RHEL 9.4,-,c301134b-d362-4223-843a-e6db3fb007a0
AST-SIN1-00113,sin1-comp-0113,–,Low,Active,,compute,Supermicro,AS-1115CS-TNR STORAGE,10.15.30.33,1b:d8:b0:64:66:67,4.6,3.14.9,TAG85813,1112,,APAC,,SIN1,None,R15,,,3,Front,,,Front to rear,,172.20.75.121/24,,10.155.183.80,,,,,"Burn-in done, handed to platform team",,"DIMM slot A3 flaky, monitor",,"prod,edge",2022-01-25T10:45:46.000000+00:00,2022-04-06T10:45:46.000000+00:00,DC-Ops,m.papaj,2,,,,2,,2,,,,,,,,smc/2025.09,2019-08-18,2022-07-06 10:45:46+00:00,RHEL 9.4,None,52b8c438-808c-4795-b2eb-785ed743eb9c
AST-LON2-00114,lon2-comp-0114,LE312412969,High,Active,Cloud Platform,compute,Lenovo,ThinkSystem SR630 COMP G1,10.38.134.185,-,3.6,3.11.5,,1113,,EMEA,,LON2,LON2-DC-3,R07,,,4,front,,,Front to rear,,172.21.134.234/24,,10.170.125.46,,,,,"Burn-in done, handed to platform team",,,,,2022-06-01T16:05:51.000000+00:00,2022-08-30T16:05:51.000000+00:00,Platform,,1,ESXi 8.0,,,2,,6,,,,,,,,bundle-2025Q3,2023-06-01,2022-12-26 16:05:51+00:00,N/A,ThinkSystem,44289913-a51d-475a-8149-b19fcec88143
AST-AMS1-00115,ams1-stor-0115,SU322478872,High,Offline,Cloud Platform,storage,Supermicro,SYS-521E-WR NET Gen3,None,e6:ef:dd:d1:bc:fe,-,2.2.5,TAG48603,1114,,EMEA,,AMS1,AMS1-DC-3,,,,-,front,,,Front to rear,,172.24.43.35/24,,10.148.80.240,,,,,"Replaced PSU, vendor RMA #4411",,"Needs recable
see ticket NET-2231",,"baremetal,k8s",2021-11-13T01:03:56.000000+00:00,2022-02-25T01:03:56.000000+00:00,DC-Ops,,1,Linux Ubuntu 22.04,,,2,,2,,,,,,,2026-11-12,smc/2026.01,2025-12-28,2022-07-23 01:03:56+00:00,–,SYS-521E-WR,871f117c-4438-4c9f-8bc9-dff5c1c8118c
AST-TYO1-00116,tyo1-cont-0116,N/A,Medium,Staged,Internal IT,control,Dell,R660 COMP G2,-,ce:99:a6:0b:10:47,4.18,None,TAG18350,1115,,APAC,,TYO1,TYO1-DC-4,R18,,,–,Front,,,Front to rear,,172.16.191.36/24,,–,,,,,,,,,"prod,edge",2023-12-27T07:39:47.000000+00:00,2024-12-31T07:39:47.000000+00:00,DC-Ops,m.papaj,2,ESXi 8.0,,,2,,2,,,,,,,,dell/15032026,,2025-05-12 07:39:47+00:00,None,R660,afe267d1-5ddb-4764-a369-d508cd27cdd6
AST-SIN1-00117,sin1-stor-0117,SU239513727,Medium,Active,Cloud Platform,storage,Supermicro,SYS-521E-WR NET Gen3,10.65.243.41,fb:eb:ec:14:2e:93,5.11,3.9.6,TAG32954,1116,,APAC,,SIN1,SIN1-DC-4,R07,,,12,Front,,,,,-,,10.139.103.129,,,,,"Ordered 2023, batch 1, rack row B",,,,"baremetal,k8s",2021-10-01T00:23:21.000000+00:00,2022-03-09T00:23:21.000000+00:00,,,2,Linux RHEL9,,,2,,6,,,,,,,2026-11-03,smc/2026.01,04/07/2023,2022-07-28 00:23:21+00:00,RHEL 9.4,,6547e6ef-d08e-47c9-923f-a410d0318d00
AST-BER1-00118,ber1-comp-0118,DE596248563,Medium,Staged,,compute,Dell,R660 COMP G2,None,8e:52:57:09:33:5a,,3.8.2,,1117,,EMEA,,BER1,BER1-DC-4,R02,,,34,,,,Front to rear,,172.20.167.172/24,,,,,,,"Replaced PSU, vendor RMA #4411",,"Needs recable
see ticket NET-2231",,,2020-03-24T00:13:46.000000+00:00,2020-05-01T00:13:46.000000+00:00,,j.smith,1,,,,2,,2,,,,,,,2029-02-10,dell/30092025,,2020-08-16 00:13:46+00:00,RHEL 9.4,R660,2263c36c-2697-4e62-98b2-138cb2022d3a
AST-FRA1-00119,fra1-stor-0119,N/A,High,Decommissioned,Cloud Platform,storage,Dell,R650XS CONTROL G1,–,8e:bc:16:22:6f:d2,6.15,1.5.4,None,1118,,EMEA,,FRA1,FRA1-DC-2,R06,,,21,,,,,,172.28.219.31/24,,–,,,,,"Replaced PSU, vendor RMA #4411",,,,lab,2021-06-02T23:56:46.000000+00:00,2021-06-25T23:56:46.000000+00:00,Platform,,1,Linux RHEL9,,,2,,2,,,,,,,,dell/30092025,,2021-12-30 23:56:46+00:00,Ubuntu 22.04.4,R650XS,fb89ba5c-aa29-4200-84be-fbc1c52dd379
AST-BER1-00120,ber1-comp-0120,-,Mission Critical,Active,,compute,Supermicro,SYS-221H-TNR CTRL Gen 3,10.52.68.72,c3:a4:5d:e2:03:21,-,–,,1119,,EMEA,,BER1,BER1-DC-2,R02,,,12,front,,,,,172.16.117.217/24,,10.105.212.166,,,,,"Ordered 2023, batch 8, rack row B",,"Needs recable
see ticket NET-2231",,lab,2025-02-01T03:43:05.000000+00:00,2025-09-17T03:43:05.000000+00:00,DC-Ops,ops-team,2,,,,2,,2,,,,,,,,smc/2026.01,2025-12-21,2026-01-18 03:43:05+00:00,RHEL 9.4,SYS-221H-TNR,a086392f-0177-44e1-83a7-bbde249fa6f8
–,ber1-cont-0121,SU508505332,Medium,Active,Cloud Platform,control,Supermicro,SYS-221H-TNR CTRL Gen 3,10.68.145.97,bf:c4:fa:9d:24:d1,2.12,1.6.6,TAG55688,1120,,EMEA,,BER1,BER1-DC-1,R09,,,16,Front,,,,,172.22.79.235/24,,None,,,,,"Ordered 2023, batch 1, rack row B",,"Needs recable
see ticket NET-2231",,lab,2023-12-11T12:20:31.000000+00:00,2024-05-16T12:20:31.000000+00:00,,a.kovac,2,ESXi 8.0,,,2,,6,,,,,,,2024-08-19,smc/2025.09,,2024-06-08 12:20:31+00:00,ESXi 8.0u2,SYS-221H-TNR,0eb7ad56-8d4e-4f5a-aad5-92aa9a14802d
AST-DFW1-00122,dfw1-netw-0122,SU371518421,High,Active,Cloud Platform,,Supermicro,SYS-221H-TNR CTRL Gen 3,10.74.195.151,d5:d5:93:dc:57:5a,-,3.3.7,,1121,,AMER,,DFW1,None,R14,,,-,Front,,,,,172.27.73.69/24,,10.152.45.28,,,,,"Burn-in done, handed to platform team",,,,"baremetal,k8s",2025-11-19T11:05:27.000000+00:00,2026-04-23T11:05:27.000000+00:00,DC-Ops,ops-team,1,ESXi 8.0,,,2,,4,,,,,,,,smc/2025.09,,2026-11-01 11:05:27+00:00,RHEL 9.4,SYS-221H-TNR,173080f2-2cc5-497f-86cb-4f583ec44bcd
AST-FRA2-00123,fra2-comp-0123,SU621759233,Mission Critical,Staged,Cloud Platform,compute,Supermicro,SYS-112C-TN COMP G2,N/A,47:0d:3e:8f:7f:bc,7.15,3.6.0,N/A,1122,,EMEA,,FRA2,FRA2-DC-3,R09,,,32,,,,Front to rear,,172.28.29.250/24,,None,,,,,"Burn-in done, handed to platform team",,"Needs recable
see ticket NET-2231",,,2024-01-10T06:43:09.000000+00:00,2025-02-01T06:43:09.000000+00:00,,m.papaj,2,ESXi 8.0,,,2,,6,,,,,,,,smc/2025.09,,2025-02-23 06:43:09+00:00,Ubuntu 22.04.4,SYS-112C-TN,2871f77c-daa7-4b81-b86d-fe19e421a606
AST-TYO1-00124,tyo1-gpu-0124,DE358666136,Mission Critical,Active,Internal IT,gpu,Dell,R760XA GPU G2,10.31.45.28,fb:2e:aa:72:21:af,7.12,,,1123,,APAC,,TYO1,TYO1-DC-2,N/A,,,9,front,,,Front to rear,,172.28.143.57/24,,10.103.82.238,,,,,,,"DIMM slot A3 flaky, monitor",,"prod,edge",2022-01-26T01:56:19.000000+00:00,2022-05-15T01:56:19.000000+00:00,Platform,m.papaj,2,Linux Ubuntu 22.04,,,2,,6,,,,,,,2027-09-20,dell/01122024,2019-11-28,2022-08-24 01:56:19+00:00,RHEL 9.4,R760XA,ff75cbee-e6f5-48a3-9eed-d5ea4913f79e
AST-BER1-00125,ber1-stor-0125,HP256627467,High,Active,,storage,HPE,DL360 COMP G1,10.14.163.80,73:1a:5b:f9:c8:99,7.5,3.12.5,TAG72052,1124,,EMEA,,BER1,-,R10,,,36,Front,,,,,172.31.110.127/24,,10.115.140.218,,,,,"Replaced PSU, vendor RMA #4411",,"Needs recable
see ticket NET-2231",,"prod,edge",2025-08-29T04:08:39.000000+00:00,2026-08-24T04:08:39.000000+00:00,,a.kovac,2,,,,2,,4,,,,,,,2028-03-09,,2019-01-29,2026-11-24 04:08:39+00:00,ESXi 8.0u2,-,279e0908-baa8-4650-bc35-b9ea4b7064ab
AST-AMS1-00126,ams1-gpu-0126,SU608820219,Mission Critical,Active,,gpu,Supermicro,SYS-221H-TNR CTRL Gen 3,10.25.173.152,,5.20,3.7.0,TAG85055,1125,,EMEA,,AMS1,AMS1-DC-2,R12,,,28,Front,,,Front to rear,,172.28.250.78/24,,-,,,,,,,"DIMM slot A3 flaky, monitor",,"prod,edge",2021-07-12T02:23:53.000000+00:00,2021-08-08T02:23:53.000000+00:00,Platform,j.smith,2,,,,2,,2,,,,,,,,smc/2025.09,2020-10-06,2022-01-23 02:23:53+00:00,–,SYS-221H-TNR,3aef310d-a342-44d0-9ce5-c790124293eb
N/A,ams1-comp-0127,HP800767402,Medium,Staged,Managed Services,compute,HPE,DL380 Gen10,10.81.131.218,fb:a0:b4:6b:32:16,-,1.6.9,TAG26841,1126,,EMEA,,AMS1,AMS1-DC-3,R07,,,26,front,,,,,172.21.216.251/24,,–,,,,,"Ordered 2023, batch 3, rack row B",,,,"baremetal,k8s",2021-05-15T20:42:31.000000+00:00,2021-06-29T20:42:31.000000+00:00,,a.kovac,2,ESXi 8.0,,,2,,4,,,,,,,2028-10-13,15/11/2025,2024-02-19,2021-08-31 20:42:31+00:00,–,–,d45ce06f-4848-4863-b72e-71ecbbdcfe2e
AST-BER1-00128,ber1-netw-0128,SU257120244,Medium,Quarantine,Managed Services,network,Supermicro,AS-1115CS-TNR STORAGE,10.11.50.97,18:57:a2:c7:5c:b0,7.17,,TAG77314,1127,,EMEA,,BER1,N/A,R09,,,16,front,,,,,172.21.156.151/24,,,,,,,"Burn-in done, handed to platform team",,"Needs recable
see ticket NET-2231",,lab,2021-12-02T10:17:37.000000+00:00,2022-04-22T10:17:37.000000+00:00,,ops-team,2,,,,2,,6,,,,,,,05/03/2027,smc/2025.09,,2022-05-14 10:17:37+00:00,N/A,AS-1115CS-TNR,9944bc0c-23c3-40d6-9481-7033e704fd9e
AST-DFW1-00129,dfw1-comp-0129,SU898229824,Mission Critical,Active,Cloud Platform,compute,Supermicro,SYS-112C-TN COMP G2,10.73.5.247,15:e5:56:73:59:26,,,TAG54296,1128,,AMER,,DFW1,None,R03,,,–,front,,,Front to rear,,172.19.207.4/24,,10.165.69.123,,,,,,,"Needs recable
see ticket NET-2231",,lab,2022-06-07T02:35:06.000000+00:00,2023-03-18T02:35:06.000000+00:00,DC-Ops,ops-team,1,,,,2,,4,,,,,,,,-,2020-08-01,2023-06-28 02:35:06+00:00,None,SYS-112C-TN,9734e575-75b7-44c1-8032-6ff1bc51147c
AST-LON2-00130,lon2-comp-0130,HP267106867,Medium,Staged,,compute,HPE,DL360 COMP G1,N/A,14:44:ca:d7:a9:10,3.15,2.3.6,TAG74955,1129,,EMEA,,LON2,LON2-DC-4,R01,,,,Front,,,Front to rear,,172.19.224.169/24,,10.154.93.138,,,,,"Replaced PSU, vendor RMA #4411",,"DIMM slot A3 flaky, monitor",,,2025-08-02T02:08:19.000000+00:00,2025-12-09T02:08:19.000000+00:00,,a.kovac,1,Linux Ubuntu 22.04,,,2,,4,,,,,,,25/12/2026,15/11/2025,2021-05-26,2026-04-12 02:08:19+00:00,RHEL 9.4,-,a0241c83-2215-4a12-8b86-39c647039d23
-,dfw1-netw-0131,DE815466869,Low,Decommissioned,Internal IT,network,Dell,R650XS CONTROL G1,10.70.52.180,d0:9c:76:71:ac:da,6.13,2.3.4,TAG56009,1130,,AMER,,DFW1,,R08,,,None,front,,,Front to rear,,172.20.117.31/24,,10.178.92.49,,,,,"Ordered 2023, batch 7, rack row B",,"Needs recable
see ticket NET-2231",,lab,2023-08-26T08:24:32.000000+00:00,2023-12-06T08:24:32.000000+00:00,Platform,ops-team,2,Linux RHEL9,,,2,,2,,,,,,,2026-09-21,dell/30092025,,2024-06-12 08:24:32+00:00,Ubuntu 22.04.4,R650XS,eaa3608b-dccb-41cc-ae66-4d32659f60a2
AST-DFW1-00132,dfw1-cont-0132,SU240107634,High,Active,Cloud Platform,control,Supermicro,-,10.87.61.11,d6:81:b1:bb:e5:3c,2.15,3.0.2,–,1131,,AMER,,DFW1,DFW1-DC-2,R04,,,35,Front,,,Front to rear,,172.19.38.242/24,,10.124.98.181,,,,,"Burn-in done, handed to platform team",,"DIMM slot A3 flaky, monitor",,lab,2025-05-09T23:17:37.000000+00:00,2026-05-25T23:17:37.000000+00:00,Platform,,2,ESXi 8.0,,,2,,2,,,,,,,,smc/2025.09,2025-09-22,2026-10-03 23:17:37+00:00,Ubuntu 22.04.4,SYS-221H-TNR,f0ad256d-a94e-4d1a-84a9-1b3011528331
AST-FRA2-00133,N/A,DE148976013,Medium,Active,Cloud Platform,control,Dell,R7615 STORAGE G2,10.47.20.164,87:44:d1:96:a6:1d,N/A,1.8.0,None,1132,,EMEA,,FRA2,FRA2-DC-2,R08,,,None,Front,,,,,172.17.127.254/24,,10.135.68.70,,,,,"Burn-in done, handed to platform team",,"Needs recable
see ticket NET-2231",,"prod,edge",2024-07-15T17:32:57.000000+00:00,2024-11-14T17:32:57.000000+00:00,Platform,j.smith,2,ESXi 8.0,,,2,,4,,,,,,,,dell/30092025,2025-03-16,2024-12-30 17:32:57+00:00,N/A,-,0ecb08ed-47a3-489f-94b1-973dfc59a58f
AST-PHX3-00134,phx3-comp-0134,SU588578468,Medium,Active,Internal IT,compute,Supermicro,SYS-112C-TN COMP G2,10.22.70.187,04:36:ad:2b:67:47,6.14,,TAG81241,1133,,AMER,,PHX3,N/A,None,,,-,Front,,,Front to rear,,172.19.6.196/24,,10.101.51.97,,,,,"Burn-in done, handed to platform team",,,,"baremetal,k8s",2025-06-27T07:32:27.000000+00:00,2026-01-20T07:32:27.000000+00:00,,ops-team,1,,,,2,,6,,,,,,,2027-08-23,smc/2025.09,,2026-04-02 07:32:27+00:00,N/A,,d8c34d3c-f065-4731-b144-37b768ef89c5
AST-SIN1-00135,sin1-comp-0135,DE261297535,Medium,Active,,compute,Dell,XR11 EDGE,10.48.146.90,22:39:da:8e:4a:2e,3.5,2.10.7,TAG64256,1134,,APAC,,SIN1,SIN1-DC-2,R14,,,35,,,,Front to rear,,-,,10.134.255.170,,,,,,,"DIMM slot A3 flaky, monitor",,lab,2025-09-04T03:30:35.000000+00:00,2026-08-22T03:30:35.000000+00:00,,,1,Linux RHEL9,,,2,,2,,,,,,,,,2023-01-12,2026-09-25 03:30:35+00:00,N/A,XR11,3a346fba-3fee-4f55-8d9a-0ac1f79a0e40
AST-DFW1-00136,dfw1-netw-0136,DE360379610,High,Staged,Internal IT,network,Dell,R660 COMP G2,10.17.70.31,7d:27:06:d5:4c:5d,3.16,2.15.6,TAG68192,1135,,AMER,,DFW1,,R14,,,12,Front,,,,,172.27.27.180/24,,None,,,,,"Burn-in done, handed to platform team",,"DIMM slot A3 flaky, monitor",,"baremetal,k8s",2021-10-16T17:43:01.000000+00:00,2022-02-08T17:43:01.000000+00:00,,,2,ESXi 8.0,,,2,,4,,,,,,,2028-07-14,dell/01122024,2020-01-24,2022-08-17 17:43:01+00:00,,-,b9c7a5ec-760c-45d6-bc58-c0d13beecbac
AST-PHX3-00137,phx3-netw-0137,SU436284832,High,Active,,network,Supermicro,SYS-112C-TN COMP G2,N/A,67:10:7b:89:2b:16,,2.0.5,TAG62184,1136,,AMER,,PHX3,PHX3-DC-3,R16,,,7,,,,Front to rear,,172.27.171.8/24,,,,,,,"Ordered 2023, batch 9, rack row B",,,,lab,2025-07-20T20:50:08.000000+00:00,2026-06-14T20:50:08.000000+00:00,Platform,,1,Linux Ubuntu 22.04,,,2,,2,,,,,,,,smc/2025.09,2020-12-20,2026-08-08 20:50:08+00:00,ESXi 8.0u2,SYS-112C-TN,fcc945c0-b149-4d06-aae7-43e4931da359
AST-LON2-00138,lon2-comp-0138,SU412288779,Medium,Active,Managed Services,compute,Supermicro,AS-1115CS-TNR STORAGE,10.65.20.229,2c:ff:30:e8:a0:56,N/A,None,TAG43809,1137,,EMEA,,LON2,LON2-DC-4,,,,37,front,,,,,172.18.78.146/24,,10.149.122.54,,,,,"Burn-in done, handed to platform team",,"DIMM slot A3 flaky, monitor",,"prod,edge",2023-01-24T11:08:05.000000+00:00,2023-12-10T11:08:05.000000+00:00,Platform,ops-team,2,Linux Ubuntu 22.04,,,2,,2,,,,,,,2026-09-15,smc/2025.09,2024-06-23,2023-12-24 11:08:05+00:00,ESXi 8.0u2,AS-1115CS-TNR,7b897662-9f45-4d55-b4ac-82de92871130
N/A,dfw1-comp-0139,HP178360259,Mission Critical,Staged,,compute,HPE,DL360 COMP G1,–,13:4f:f0:4a:6d:a3,N/A,,TAG99610,1138,,AMER,,DFW1,None,None,,,27,,,,,,172.28.221.52/24,,,,,,,,,,,lab,2021-11-23T23:54:35.000000+00:00,2022-06-10T23:54:35.000000+00:00,Platform,ops-team,1,ESXi 8.0,,,2,,4,,,,,,,05/03/2027,bundle-2025Q3,2020-05-14,2022-12-05 23:54:35+00:00,–,DL360,b55b092c-4e3a-4100-b176-ce5e6f35ce49
AST-LON2-00140,lon2-stor-0140,DE115232939,High,Active,Cloud Platform,storage,Dell,XR11 EDGE,10.28.255.222,c1:6e:b2:6b:61:07,N/A,3.3.7,TAG69768,1139,,EMEA,,LON2,LON2-DC-4,R11,,,8,front,,,,,172.30.64.163/24,,10.152.134.134,,,,,"Ordered 2023, batch 6, rack row B",,"DIMM slot A3 flaky, monitor",,"prod,edge",2021-04-12T14:33:40.000000+00:00,2021-12-03T14:33:40.000000+00:00,,m.papaj,2,Linux Ubuntu 22.04,,,2,,6,,,,,,,2026-09-06,dell/01122024,2026-04-16,2021-12-28 14:33:40+00:00,RHEL 9.4,,8aeb4281-89a8-4fd6-88ee-df1a7b455861
AST-ASH1-00141,ash1-gpu-0141,DE640480318,Low,Active,,gpu,Dell,XR11 EDGE,10.95.148.219,bf:72:91:89:87:9d,None,N/A,TAG78021,1140,,AMER,,ASH1,None,R15,,,42,Front,,,,,172.22.240.244/24,,10.128.232.142,,,,,"Burn-in done, handed to platform team",,"DIMM slot A3 flaky, monitor",,"prod,edge",2024-12-10T19:55:00.000000+00:00,2024-12-27T19:55:00.000000+00:00,Platform,ops-team,1,,,,2,,2,,,,,,,,dell/01122024,,2025-05-23 19:55:00+00:00,Ubuntu 22.04.4,XR11,fa3d6e18-0d99-46bb-9ccf-47d1abadf9bc
AST-LON2-00142,lon2-comp-0142,DE569677269,Medium,Active,Internal IT,compute,Dell,R7615 STORAGE G2,10.85.78.8,c1:85:1a:8c:2a:49,7.18,-,-,1141,,EMEA,,LON2,LON2-DC-3,R01,,,7,Front,,,,,172.20.232.163/24,,10.169.40.147,,,,,"Burn-in done, handed to platform team",,"DIMM slot A3 flaky, monitor",,,2020-02-05T20:20:40.000000+00:00,2020-12-23T20:20:40.000000+00:00,DC-Ops,m.papaj,2,Linux Ubuntu 22.04,,,2,,6,,,,,,,2027-11-30,,2024-08-11,2021-05-17 20:20:40+00:00,ESXi 8.0u2,N/A,ef89a9ad-fb91-475d-b5df-7fd8578ed220
AST-TYO1-00143,tyo1-comp-0143,LE230560149,Medium,Planned,Internal IT,compute,Lenovo,ThinkSystem SR650,-,96:ef:fd:df:cc:62,3.8,1.9.2,TAG73941,1142,,APAC,,TYO1,TYO1-DC-3,R09,,,39,Front,,,,,172.16.167.36/24,,10.127.186.30,,,,,,,"Needs recable
see ticket NET-2231",,"prod,edge",2021-08-22T03:35:04.000000+00:00,2022-06-29T03:35:04.000000+00:00,DC-Ops,,2,,,,2,,4,,,,,,,2024-09-06,bundle-2025Q3,2019-04-04,2022-07-28 03:35:04+00:00,RHEL 9.4,ThinkSystem,4441b7ef-8c92-44ef-8994-1a4816863215
AST-FRA2-00144,fra2-comp-0144,DE231322499,Mission Critical,Quarantine,Internal IT,compute,Dell,R7615 STORAGE G2,None,de:a2:a3:65:64:19,5.1,2.3.1,None,1143,,EMEA,,FRA2,FRA2-DC-1,R11,,,1,front,,,Front to rear,,172.28.145.155/24,,,,,,,,,"DIMM slot A3 flaky, monitor",,,2020-01-30T22:17:19.000000+00:00,2020-07-12T22:17:19.000000+00:00,Platform,j.smith,1,,,,2,,2,,,,,,,2029-05-04,dell/15032026,,2020-10-08 22:17:19+00:00,N/A,R7615,6d83bfa5-bc83-4c19-afbd-b2ae76b08a6f
AST-BER1-00145,ber1-cont-0145,,Medium,Decommissioned,Internal IT,control,Supermicro,SYS-521E-WR NET Gen3,10.13.114.13,26:87:a8:c2:8a:57,N/A,1.13.7,TAG78388,1144,,EMEA,,BER1,BER1-DC-3,R04,,,N/A,,,,Front to rear,,N/A,,10.117.53.83,,,,,"Ordered 2023, batch 6, rack row B",,"DIMM slot A3 flaky, monitor",,"prod,edge",2025-04-03T23:42:19.000000+00:00,2025-05-26T23:42:19.000000+00:00,,j.smith,1,,,,2,,2,,,,,,,,smc/2026.01,2020-08-06,2025-09-27 23:42:19+00:00,–,SYS-521E-WR,1a4bbe51-0f18-4c3d-86bb-6fb4a8268e64
AST-BER1-00146,ber1-stor-0146,HP641715005,Medium,Decommissioned,Internal IT,storage,HPE,DL360 COMP G1,10.38.186.99,eb:5f:88:0e:f3:e7,None,1.4.6,None,1145,,EMEA,,BER1,BER1-DC-4,R05,,,-,,,,,,172.24.216.43/24,,,,,,,"Burn-in done, handed to platform team",,"DIMM slot A3 flaky, monitor",,lab,2020-11-24T06:36:57.000000+00:00,2021-01-30T06:36:57.000000+00:00,DC-Ops,j.smith,1,Linux RHEL9,,,2,,2,,,,,,,,bundle-2025Q3,,2021-02-15 06:36:57+00:00,-,DL360,6afebbb4-c0be-40d4-bea1-5d6a1ae3ca92
AST-ASH1-00147,ash1-comp-0147,-,Medium,Decommissioned,Cloud Platform,compute,Dell,None,–,db:ab:0a:5a:87:27,None,3.0.7,,1146,,AMER,,ASH1,ASH1-DC-2,-,,,N/A,front,,,,,172.31.156.219/24,,–,,,,,"Replaced PSU, vendor RMA #4411",,"DIMM slot A3 flaky, monitor",,lab,2021-10-01T02:30:16.000000+00:00,2021-12-28T02:30:16.000000+00:00,Platform,ops-team,2,Linux RHEL9,,,2,,4,,,,,,,,N/A,,2022-06-21 02:30:16+00:00,ESXi 8.0u2,None,2787599f-3e84-48af-8986-3df2930fdaa2
